OverallQual,TotalBsmtSF,GrLivArea,MSZoning,Utilities,Neighborhood,GarageType,HouseStyle,SalePrice
7,856,1710,RL,AllPub,CollgCr,Attchd,2Story,208500
6,1262,1262,RL,AllPub,Veenker,Attchd,1Story,181500
7,920,1786,RL,AllPub,CollgCr,Attchd,2Story,223500
7,756,1717,RL,AllPub,Crawfor,Detchd,2Story,140000
8,1145,2198,RL,AllPub,NoRidge,Attchd,2Story,250000
5,796,1362,RL,AllPub,Mitchel,Attchd,1.5Fin,143000
8,1686,1694,RL,AllPub,Somerst,Attchd,1Story,307000
7,1107,2090,RL,AllPub,NWAmes,Attchd,2Story,200000
7,952,1774,RM,AllPub,OldTown,Detchd,1.5Fin,129900
5,991,1077,RL,AllPub,BrkSide,Attchd,1.5Unf,118000
5,1040,1040,RL,AllPub,Sawyer,Detchd,1Story,129500
9,1175,2324,RL,AllPub,NridgHt,BuiltIn,2Story,345000
5,912,912,RL,AllPub,Sawyer,Detchd,1Story,144000
7,1494,1494,RL,AllPub,CollgCr,Attchd,1Story,279500
6,1253,1253,RL,AllPub,NAmes,Attchd,1Story,157000
7,832,854,RM,AllPub,BrkSide,Detchd,1.5Unf,132000
6,1004,1004,RL,AllPub,NAmes,Attchd,1Story,149000
4,0,1296,RL,AllPub,Sawyer,CarPort,1Story,90000
5,1114,1114,RL,AllPub,SawyerW,Detchd,1Story,159000
5,1029,1339,RL,AllPub,NAmes,Attchd,1Story,139000
8,1158,2376,RL,AllPub,NridgHt,BuiltIn,2Story,325300
7,637,1108,RM,AllPub,IDOTRR,Attchd,1.5Unf,139400
8,1777,1795,RL,AllPub,CollgCr,Attchd,1Story,230000
5,1040,1060,RM,AllPub,MeadowV,Attchd,1Story,129900
5,1060,1060,RL,AllPub,Sawyer,Attchd,1Story,154000
8,1566,1600,RL,AllPub,NridgHt,Attchd,1Story,256300
5,900,900,RL,AllPub,NAmes,Detchd,1Story,134800
8,1704,1704,RL,AllPub,NridgHt,Attchd,1Story,306000
5,1484,1600,RL,AllPub,NAmes,Attchd,1Story,207500
4,520,520,RM,AllPub,BrkSide,Detchd,1Story,68500
4,649,1317,C (all),AllPub,IDOTRR,Detchd,2Story,40000
5,1228,1228,RL,AllPub,Sawyer,Attchd,1Story,149350
8,1234,1234,RL,AllPub,CollgCr,Attchd,1Story,179900
5,1398,1700,RL,AllPub,NAmes,Attchd,1Story,165500
9,1561,1561,RL,AllPub,NridgHt,Attchd,1Story,277500
8,1117,2452,RL,AllPub,NridgHt,BuiltIn,2Story,309000
5,1097,1097,RL,AllPub,CollgCr,Attchd,1Story,145000
5,1297,1297,RL,AllPub,NAmes,Attchd,1Story,153000
5,1057,1057,RL,AllPub,NAmes,Detchd,1Story,109000
4,0,1152,RL,AllPub,Edwards,NA,1Story,82000
6,1088,1324,RL,AllPub,NAmes,Attchd,1Story,160000
5,1350,1328,RL,AllPub,Timber,Attchd,1Story,170000
5,840,884,RL,AllPub,SawyerW,Attchd,SFoyer,144000
5,938,938,RL,AllPub,CollgCr,Detchd,1Story,130250
5,1150,1150,RL,AllPub,NAmes,Attchd,1Story,141000
9,1752,1752,RL,AllPub,NridgHt,Attchd,1Story,319900
7,1434,2149,RL,AllPub,Mitchel,Attchd,1.5Fin,239686
8,1656,1656,FV,AllPub,Somerst,Attchd,1Story,249700
4,736,1452,RM,AllPub,OldTown,NA,2Story,113000
5,955,955,RL,AllPub,Sawyer,Attchd,1Story,127000
6,794,1470,RL,AllPub,Gilbert,Attchd,2Story,177000
6,816,1176,RM,AllPub,BrkSide,Detchd,1.5Fin,114500
5,816,816,RM,AllPub,IDOTRR,CarPort,1Story,110000
9,1842,1842,RL,AllPub,Veenker,Attchd,1Story,385000
5,384,1360,RL,AllPub,NAmes,Detchd,SLvl,130000
6,1425,1425,RL,AllPub,NAmes,Attchd,1Story,180500
8,970,1739,FV,AllPub,Somerst,Attchd,2Story,172500
7,860,1720,RL,AllPub,CollgCr,Attchd,2Story,196500
10,1410,2945,RL,AllPub,StoneBr,BuiltIn,2Story,438780
5,780,780,RL,AllPub,CollgCr,Detchd,1Story,124900
6,1158,1158,RL,AllPub,SawyerW,Detchd,1Story,158000
5,530,1111,RM,AllPub,IDOTRR,Detchd,2.5Unf,101000
8,1370,1370,RL,AllPub,NridgHt,Attchd,1Story,202500
7,576,1710,RM,AllPub,OldTown,Detchd,2Story,140000
7,1057,2034,RL,AllPub,CollgCr,Attchd,2Story,219500
8,1143,2473,RL,AllPub,NridgHt,BuiltIn,2Story,317000
7,1947,2207,RL,AllPub,NAmes,Attchd,1Story,180000
7,1453,1479,RL,AllPub,CollgCr,Attchd,1Story,226000
4,747,747,RM,AllPub,OldTown,Attchd,1Story,80000
7,1304,2287,RL,AllPub,ClearCr,Attchd,1.5Fin,225000
7,2223,2223,RL,AllPub,NAmes,Attchd,1Story,244000
4,845,845,RL,AllPub,Mitchel,Detchd,1Story,129500
7,832,1718,RL,AllPub,Gilbert,Attchd,2Story,185000
5,1086,1086,RL,AllPub,NAmes,Attchd,1Story,144900
3,840,1605,RM,AllPub,OldTown,Detchd,2Story,107400
4,462,988,RM,AllPub,MeadowV,BuiltIn,SLvl,91000
4,952,952,RL,AllPub,NAmes,Detchd,1Story,135750
5,672,1285,RM,AllPub,BrkSide,Detchd,1.5Fin,127000
4,1768,1768,RL,AllPub,Sawyer,NA,1Story,136500
5,440,1230,RM,AllPub,OldTown,Detchd,2Story,110000
6,896,2142,RL,AllPub,NAmes,Attchd,2Story,193500
6,1237,1337,RM,AllPub,Mitchel,Attchd,1Story,153500
8,1563,1563,RL,AllPub,Somerst,Attchd,1Story,245000
5,1065,1065,RL,AllPub,NAmes,Detchd,1Story,126500
7,384,1474,RL,AllPub,Gilbert,BuiltIn,SLvl,168500
8,1288,2417,RL,AllPub,NoRidge,Attchd,2Story,260000
6,684,1560,RL,AllPub,Gilbert,BuiltIn,2Story,174000
6,612,1224,FV,AllPub,Somerst,Detchd,2Story,164500
3,1013,1526,C (all),AllPub,IDOTRR,NA,1.5Fin,85000
4,990,990,RL,AllPub,CollgCr,NA,1Story,123600
4,0,1040,RL,AllPub,NAmes,Detchd,1Story,109900
5,1235,1235,RL,AllPub,NAmes,Attchd,1Story,98600
5,876,964,RL,AllPub,Crawfor,Detchd,1Story,163500
6,1214,2291,C (all),AllPub,OldTown,Detchd,2.5Unf,133900
6,824,1786,RL,AllPub,CollgCr,Attchd,2Story,204750
6,680,1470,RL,AllPub,Gilbert,BuiltIn,2Story,185000
7,1588,1588,RL,AllPub,CollgCr,Attchd,1Story,214000
4,960,960,RL,AllPub,Edwards,Attchd,1Story,94750
5,458,835,RL,AllPub,Edwards,Basment,1Story,83000
4,950,1225,RL,AllPub,NAmes,NA,1Story,128950
6,1610,1610,RL,AllPub,NWAmes,Attchd,1Story,205000
6,741,1732,RL,AllPub,SawyerW,Attchd,2Story,178000
5,0,1535,RL,AllPub,SawyerW,Attchd,1Story,118964
7,1226,1226,RL,AllPub,CollgCr,Attchd,1Story,198900
7,1040,1818,RM,AllPub,IDOTRR,Detchd,1.5Fin,169500
8,1053,1992,FV,AllPub,Somerst,Attchd,2Story,250000
4,641,1047,RM,AllPub,OldTown,Detchd,1Story,100000
5,789,789,RM,AllPub,OldTown,Detchd,1Story,115000
5,793,1517,RM,AllPub,IDOTRR,NA,1.5Fin,115000
6,1844,1844,RL,AllPub,NWAmes,Attchd,1Story,190000
6,994,1855,RL,AllPub,Edwards,Attchd,1.5Fin,136900
7,384,1430,RL,AllPub,Gilbert,BuiltIn,SLvl,180000
7,1264,2696,RL,AllPub,CollgCr,BuiltIn,2Story,383970
6,1809,2259,RL,AllPub,Crawfor,Basment,1Story,217000
6,1028,2320,RL,AllPub,Crawfor,Detchd,2Story,259500
6,729,1458,FV,AllPub,Somerst,Detchd,2Story,176000
5,1092,1092,RL,AllPub,Sawyer,Attchd,1Story,139000
5,1125,1125,RL,AllPub,Edwards,Attchd,1Story,155000
7,1673,3222,RL,AllPub,SawyerW,Attchd,2Story,320000
6,728,1456,RL,AllPub,CollgCr,Attchd,2Story,163990
6,938,988,RL,AllPub,ClearCr,Attchd,SLvl,180000
4,732,1123,RM,AllPub,IDOTRR,Detchd,1.5Fin,100000
6,1080,1080,RL,AllPub,NAmes,Attchd,1Story,136000
6,1199,1199,RL,AllPub,SawyerW,Attchd,1Story,153900
6,1362,1586,RL,AllPub,NWAmes,Attchd,1Story,181000
6,520,754,RM,AllPub,IDOTRR,NA,1.5Fin,84500
6,1078,958,RL,AllPub,NPkVill,Attchd,1Story,128000
5,672,840,RM,AllPub,OldTown,NA,1.5Unf,87000
6,660,1348,RL,AllPub,NAmes,Attchd,2Story,155000
5,1008,1053,RL,AllPub,NAmes,2Types,1Story,150000
7,924,2157,RL,AllPub,NAmes,Attchd,2Story,226000
6,992,2054,RL,AllPub,Gilbert,BuiltIn,2Story,244000
5,1063,1327,RL,AllPub,NAmes,Detchd,1Story,150750
8,1267,1296,RL,AllPub,Timber,Attchd,1Story,220000
5,1461,1721,RL,AllPub,Sawyer,Attchd,1Story,180000
7,1304,1682,RL,AllPub,NWAmes,Attchd,1Story,174000
5,1214,1214,RL,AllPub,NAmes,Attchd,1Story,143000
7,1907,1959,RL,AllPub,Mitchel,2Types,1Story,171000
8,1004,1852,RL,AllPub,CollgCr,Attchd,2Story,230000
6,928,1764,RL,AllPub,CollgCr,Attchd,2Story,231500
4,864,864,RL,AllPub,NAmes,NA,1Story,115000
7,1734,1734,RL,AllPub,CollgCr,Attchd,1Story,260000
5,910,1385,RL,AllPub,NAmes,Detchd,1.5Fin,166000
7,1490,1501,RL,AllPub,CollgCr,Attchd,1Story,204000
5,1728,1728,RM,AllPub,Sawyer,Detchd,1Story,125000
6,970,1709,RM,AllPub,Edwards,Detchd,2Story,130000
5,715,875,RM,AllPub,BrkSide,Detchd,1Story,105000
7,884,2035,RL,AllPub,Gilbert,BuiltIn,2Story,222500
7,1080,1080,RL,AllPub,SawyerW,NA,1Story,141000
5,896,1344,RM,AllPub,BrkSide,Detchd,1.5Fin,115000
5,969,969,RL,AllPub,CollgCr,Attchd,1Story,122000
8,1710,1710,RL,AllPub,NridgHt,Attchd,1Story,372402
6,825,1993,RL,AllPub,NWAmes,Attchd,2Story,190000
6,1602,1252,RL,AllPub,ClearCr,Attchd,1Story,235000
6,1200,1200,RM,AllPub,OldTown,Detchd,1Story,125000
6,572,1096,RL,AllPub,Edwards,NA,1.5Fin,79000
5,0,1040,RL,AllPub,NAmes,Detchd,1Story,109500
8,774,1968,RL,AllPub,Timber,BuiltIn,2Story,269500
7,991,1947,FV,AllPub,Somerst,Attchd,2Story,254900
7,1392,2462,RL,AllPub,Gilbert,Attchd,2Story,320000
6,1232,1232,RL,AllPub,Veenker,Attchd,1Story,162500
9,1572,2668,RL,AllPub,NridgHt,BuiltIn,2Story,412500
7,1541,1541,RL,AllPub,NridgHt,Attchd,1Story,220000
4,882,882,RL,AllPub,OldTown,NA,1.5Unf,103200
6,1149,1616,RM,AllPub,OldTown,Detchd,1Story,152000
5,644,1355,RL,AllPub,Edwards,NA,1.5Fin,127500
5,1617,1867,RL,AllPub,ClearCr,Attchd,1Story,190000
8,1582,2161,RL,AllPub,NridgHt,Attchd,2Story,325624
7,840,1720,RL,AllPub,Gilbert,Attchd,2Story,183500
8,1686,1707,RL,AllPub,Timber,Attchd,1Story,228000
5,720,1382,RM,AllPub,OldTown,Detchd,1.5Fin,128500
6,1080,1656,RL,AllPub,NAmes,Attchd,1Story,215000
7,1064,1767,RL,AllPub,StoneBr,Attchd,2Story,239000
6,1362,1362,RL,AllPub,NAmes,Attchd,1Story,163000
6,1606,1651,RL,AllPub,Timber,Attchd,1Story,184000
6,1202,2158,RL,AllPub,Edwards,Attchd,1Story,243000
6,1151,2060,RL,AllPub,ClearCr,Attchd,2Story,211000
5,1052,1920,RL,AllPub,Sawyer,Attchd,1.5Fin,172500
9,2216,2234,RL,AllPub,StoneBr,Attchd,1Story,501837
5,968,968,RM,AllPub,OldTown,Detchd,1Story,100000
6,756,1525,FV,AllPub,Somerst,Detchd,2Story,177000
7,793,1802,RL,AllPub,Crawfor,Detchd,2Story,200100
5,0,1340,RL,AllPub,Edwards,Attchd,1Story,120000
7,1362,2082,RM,AllPub,OldTown,Detchd,1.5Fin,200000
5,504,1252,RL,AllPub,BrkSide,Attchd,1.5Fin,127000
10,1107,3608,RM,AllPub,OldTown,Detchd,2.5Fin,475000
7,1188,1217,RL,AllPub,Mitchel,Attchd,SLvl,173000
5,660,1656,RL,AllPub,OldTown,Detchd,1.5Fin,135000
5,1086,1224,RL,AllPub,SawyerW,Detchd,SFoyer,153337
8,1593,1593,RL,AllPub,StoneBr,Attchd,1Story,286000
8,853,2727,RL,AllPub,Crawfor,Detchd,2Story,315000
7,725,1479,RL,AllPub,NAmes,Attchd,2Story,184000
7,1431,1431,RL,AllPub,CollgCr,Attchd,1Story,192000
7,970,1709,RM,AllPub,Edwards,Detchd,2Story,130000
5,864,864,RL,AllPub,CollgCr,Detchd,1Story,127000
6,855,1456,RL,AllPub,NPkVill,Attchd,2Story,148500
7,1726,1726,RL,AllPub,Somerst,Attchd,1Story,311872
8,1360,3112,RL,AllPub,NAmes,Detchd,2Story,235000
6,755,2229,RM,AllPub,OldTown,NA,2.5Fin,104000
8,1713,1713,RL,AllPub,NridgHt,Attchd,1Story,274900
4,1121,1121,RM,AllPub,Edwards,Attchd,1Story,140000
6,1196,1279,RL,AllPub,Mitchel,Detchd,1Story,171500
6,617,1310,RL,AllPub,OldTown,Attchd,1.5Fin,112000
6,848,848,RM,AllPub,CollgCr,Attchd,1Story,149000
5,720,1284,RM,AllPub,OldTown,Detchd,1.5Fin,110000
7,1424,1442,RL,AllPub,Gilbert,Attchd,1Story,180500
5,1140,1696,RL,AllPub,Sawyer,Attchd,1Story,143900
4,1100,1100,RL,AllPub,NAmes,Attchd,1Story,141000
7,1157,2062,RL,AllPub,SawyerW,Attchd,2Story,277000
6,1092,1092,RL,AllPub,NAmes,Attchd,1Story,145000
5,864,864,RL,AllPub,Edwards,NA,1Story,98000
6,1212,1212,RL,AllPub,Edwards,Attchd,1Story,186000
7,900,1852,FV,AllPub,Somerst,Attchd,2Story,252678
5,990,990,RL,AllPub,CollgCr,Attchd,1Story,156000
6,689,1392,RL,AllPub,CollgCr,Attchd,2Story,161750
5,1070,1236,RL,AllPub,NAmes,Attchd,1Story,134450
7,1436,1436,RL,AllPub,CollgCr,Attchd,1Story,210000
4,686,1328,RM,AllPub,OldTown,Detchd,2Story,107000
7,798,1954,RL,AllPub,Crawfor,Attchd,1.5Fin,311500
7,1248,1248,RL,AllPub,Blmngtn,Attchd,1Story,167240
7,1498,1498,RL,AllPub,CollgCr,Attchd,1Story,204900
6,1010,2267,RL,AllPub,Gilbert,BuiltIn,2Story,200000
6,713,1552,RL,AllPub,NWAmes,Attchd,2Story,179900
4,864,864,RL,AllPub,NAmes,Detchd,1Story,97000
10,2392,2392,RL,AllPub,NridgHt,Attchd,1Story,386250
5,630,1302,RM,AllPub,BrDale,Detchd,2Story,112000
7,1203,2520,RL,AllPub,NoRidge,Attchd,2Story,290000
6,483,987,RM,AllPub,BrDale,Detchd,2Story,106000
5,912,912,RL,AllPub,Sawyer,Detchd,1Story,125000
7,1373,1555,RL,AllPub,Blmngtn,Attchd,1Story,192500
6,1194,1194,RL,AllPub,NAmes,Attchd,1Story,148000
8,1462,2794,RL,AllPub,NoRidge,Attchd,2Story,403000
6,483,987,RM,AllPub,BrDale,Attchd,2Story,94500
5,894,894,RL,AllPub,CollgCr,Attchd,1Story,128200
6,860,1960,RL,AllPub,Gilbert,BuiltIn,2Story,216500
6,483,987,RM,AllPub,BrDale,Detchd,2Story,89500
7,1414,1414,RL,AllPub,CollgCr,Attchd,1Story,185500
7,996,1744,RL,AllPub,SawyerW,Attchd,2Story,194500
8,1694,1694,RL,AllPub,NridgHt,Attchd,1Story,318000
6,735,1487,RL,AllPub,Edwards,Detchd,1.5Fin,113000
8,1566,1566,FV,AllPub,Somerst,Attchd,1Story,262500
5,686,866,RM,AllPub,OldTown,NA,1Story,110500
5,540,1440,RM,AllPub,OldTown,Attchd,1.5Fin,79000
6,626,1217,RL,AllPub,SawyerW,Attchd,2Story,120000
7,948,2110,RL,AllPub,SawyerW,Attchd,2Story,205000
7,1845,1872,RL,AllPub,NWAmes,Attchd,1Story,241500
6,1020,1928,RM,AllPub,OldTown,Detchd,2Story,137000
6,1367,1375,RL,AllPub,NAmes,Attchd,1Story,140000
7,840,1668,RL,AllPub,CollgCr,Attchd,2Story,180000
6,1444,2144,RL,AllPub,ClearCr,Attchd,1.5Fin,277000
3,728,1306,RL,AllPub,BrkSide,NA,1Story,76500
8,1573,1625,RM,AllPub,Crawfor,Attchd,1Story,235000
6,798,1640,RL,AllPub,SawyerW,Attchd,2Story,173000
6,1302,1302,RL,AllPub,NAmes,Attchd,SLvl,158000
5,1314,1314,RL,AllPub,NAmes,Attchd,1Story,145000
7,975,2291,RL,AllPub,Gilbert,BuiltIn,2Story,230000
6,864,1728,FV,AllPub,Somerst,Attchd,2Story,207500
7,1604,1604,RL,AllPub,CollgCr,Attchd,1Story,220000
7,963,1792,RL,AllPub,CollgCr,Attchd,2Story,231500
5,0,882,RM,AllPub,OldTown,Detchd,1Story,97000
6,1362,1382,RL,AllPub,NAmes,Attchd,SLvl,176000
8,1482,2574,RL,AllPub,CollgCr,BuiltIn,2Story,276000
6,506,1212,RL,AllPub,Sawyer,Attchd,SLvl,151000
5,926,1316,RM,AllPub,OldTown,Detchd,1.5Fin,130000
5,680,764,RM,AllPub,OldTown,Detchd,1Story,73000
6,1422,1422,RL,AllPub,NWAmes,Attchd,1Story,175500
6,802,1511,RL,AllPub,Gilbert,Attchd,2Story,185000
5,720,2192,RL,AllPub,SWISU,Detchd,2.5Fin,179500
5,740,778,RM,AllPub,IDOTRR,Detchd,1Story,120500
6,1143,1113,RL,AllPub,Edwards,Attchd,1Story,148000
8,1095,1939,FV,AllPub,Somerst,Attchd,2Story,266000
7,1385,1363,RL,AllPub,ClearCr,Attchd,1Story,241500
8,1152,2270,RL,AllPub,NoRidge,Attchd,2Story,290000
6,1240,1632,RL,AllPub,NAmes,Attchd,1Story,139000
5,816,816,RL,AllPub,Mitchel,Attchd,1Story,124500
7,952,1548,RL,AllPub,BrkSide,Detchd,1.5Fin,205000
7,1560,1560,RL,AllPub,Mitchel,Attchd,1Story,201000
4,864,864,RL,AllPub,Gilbert,Detchd,1Story,141000
9,2121,2121,RL,AllPub,NridgHt,Attchd,1Story,415298
7,1160,2022,RL,AllPub,ClearCr,Attchd,2Story,192000
7,807,1982,RL,AllPub,SawyerW,Attchd,2Story,228500
6,1262,1262,FV,AllPub,Somerst,Attchd,1Story,185000
7,1314,1314,RL,AllPub,NridgHt,Attchd,1Story,207500
8,1468,1468,RL,AllPub,Somerst,Attchd,1Story,244600
6,1575,1575,RL,AllPub,SawyerW,Attchd,1Story,179200
7,625,1250,FV,AllPub,Somerst,Detchd,2Story,164700
6,912,1734,RL,AllPub,NAmes,Attchd,1.5Fin,159000
4,858,858,RL,AllPub,NAmes,NA,1Story,88000
5,882,900,RL,AllPub,Sawyer,Detchd,1Story,122000
6,698,1396,RL,AllPub,BrkSide,Detchd,2Story,153575
8,1079,1919,RL,AllPub,CollgCr,Attchd,2Story,233230
5,780,1716,RL,AllPub,SWISU,NA,2Story,135900
5,768,1716,RL,AllPub,Edwards,Attchd,1.5Fin,131000
7,795,2263,RL,AllPub,NWAmes,Attchd,2Story,235000
6,1416,1644,RL,AllPub,NAmes,Attchd,1Story,167000
6,1003,1003,RL,AllPub,Mitchel,Detchd,SLvl,142500
5,910,1558,RM,AllPub,IDOTRR,Attchd,1.5Fin,152000
7,975,1950,FV,AllPub,Somerst,Detchd,2Story,239000
6,702,1743,RL,AllPub,NWAmes,Attchd,2Story,175000
6,1092,1152,RL,AllPub,Crawfor,Attchd,1Story,158500
5,1165,1336,RL,AllPub,Crawfor,Attchd,1Story,157000
8,1028,2452,RL,AllPub,CollgCr,BuiltIn,2Story,267000
7,1541,1541,RL,AllPub,CollgCr,Attchd,1Story,205000
5,894,894,RL,AllPub,CollgCr,Attchd,1Story,149900
7,1470,3493,RM,AllPub,OldTown,Attchd,2.5Fin,295000
8,2000,2000,RL,AllPub,CollgCr,Attchd,1Story,305900
7,700,2243,RL,AllPub,SawyerW,Attchd,2Story,225000
6,319,1406,RM,AllPub,IDOTRR,NA,1.5Fin,89500
4,861,861,RL,AllPub,Edwards,Detchd,1Story,82500
9,1896,1944,RL,AllPub,NridgHt,Attchd,1Story,360000
6,697,1501,RL,AllPub,Gilbert,Attchd,2Story,165600
6,972,972,RL,AllPub,NAmes,Detchd,1Story,132000
5,793,1118,RM,AllPub,OldTown,Detchd,1.5Fin,119900
7,2136,2036,RL,AllPub,Timber,Attchd,1Story,375000
7,728,1641,RM,AllPub,OldTown,Detchd,2Story,178000
7,716,1432,RL,AllPub,Gilbert,Attchd,2Story,188500
7,845,2353,RL,AllPub,NWAmes,Attchd,2Story,260000
8,1088,1959,FV,AllPub,Somerst,Attchd,2Story,270000
7,1347,2646,RL,AllPub,NoRidge,Attchd,2Story,260000
7,1372,1472,RL,AllPub,NWAmes,Attchd,SLvl,187500
9,1249,2596,RL,AllPub,NridgHt,Attchd,2Story,342643
8,1136,2468,RL,AllPub,NridgHt,BuiltIn,2Story,354000
7,1502,2730,RL,AllPub,SawyerW,Attchd,2Story,301000
3,1162,1163,RM,AllPub,OldTown,Attchd,1Story,126175
7,710,2978,RL,AllPub,NAmes,BuiltIn,SLvl,242000
5,720,803,RM,AllPub,IDOTRR,Detchd,1.5Unf,87000
8,1719,1719,RL,AllPub,Veenker,Attchd,1Story,324000
6,1383,1383,RL,AllPub,NAmes,Attchd,1Story,145250
6,844,2134,RL,AllPub,BrkSide,Detchd,2.5Unf,214500
5,596,1192,RM,AllPub,IDOTRR,Detchd,2Story,78000
5,1728,1728,RL,AllPub,NAmes,Detchd,1Story,119000
5,1056,1056,RL,AllPub,NAmes,Attchd,1Story,139000
8,3206,1629,RL,AllPub,NridgHt,Attchd,1Story,284000
7,1358,1358,RM,AllPub,NridgHt,Attchd,1Story,207000
6,943,1638,RL,AllPub,Gilbert,Attchd,2Story,192000
5,1499,1786,RL,AllPub,Timber,Attchd,1.5Fin,228950
9,1922,1922,RL,AllPub,StoneBr,Attchd,1Story,377426
7,1536,1536,RL,AllPub,CollgCr,Attchd,1Story,214000
7,1208,1621,RL,AllPub,NWAmes,Attchd,1Story,202500
6,1215,1215,RL,AllPub,NAmes,Attchd,1Story,155000
8,967,1908,RL,AllPub,Timber,Attchd,2Story,202900
4,721,841,RH,AllPub,SawyerW,CarPort,1Story,82000
3,0,1040,RL,AllPub,NAmes,Detchd,1Story,87500
9,1684,1684,RL,AllPub,NridgHt,Attchd,1Story,266000
5,536,1112,RM,AllPub,MeadowV,Attchd,2Story,85000
6,972,1577,RL,AllPub,BrkSide,Detchd,1.5Fin,140200
6,958,958,RL,AllPub,NAmes,Attchd,1Story,151500
6,1478,1478,RL,AllPub,NAmes,Attchd,1Story,157500
7,764,1626,RL,AllPub,NridgHt,BuiltIn,2Story,154000
9,1848,2728,RL,AllPub,NridgHt,Attchd,2Story,437154
9,1869,1869,RL,AllPub,NridgHt,Attchd,1Story,318061
7,1453,1453,RL,AllPub,ClearCr,Attchd,1Story,190000
5,616,1111,RL,AllPub,Edwards,Detchd,1.5Fin,95000
6,624,720,RM,AllPub,OldTown,Detchd,1Story,105900
6,940,1595,RL,AllPub,SWISU,Attchd,1.5Fin,140000
6,1200,1200,RL,AllPub,CollgCr,Attchd,1Story,177500
6,1158,1167,RL,AllPub,Gilbert,Attchd,1Story,173000
5,1142,1142,RM,AllPub,MeadowV,Attchd,1Story,134000
5,1062,1352,RL,AllPub,ClearCr,BuiltIn,SLvl,130000
8,1086,1924,RL,AllPub,NoRidge,Attchd,2Story,280000
6,888,912,RL,AllPub,Mitchel,Attchd,SFoyer,156000
5,883,1505,RL,AllPub,BrkSide,Detchd,1.5Fin,145000
